Posted Date,Job Title,Main Skill 1,Main Skill 2,Main Skill 3,Company,Workplace,Address,Company Type,Company Industry,Company Size,Country,Working Days,Overtime Policy
2024-10-17 20:49:55.599354,"Automation Test Engineer (Cypress, English)",Automation Test,JavaScript,Tester,RAKSUL Vietnam,Hybrid,Ho Chi Minh,IT Product,Software Products and Web Services,51-150,Japan,Monday - Friday,No OT
2024-10-17 20:49:55.599354,Senior System Engineer,System Engineer,Software Architect,System Admin,IVS,At office,Ho Chi Minh,IT Outsourcing,IT Services and IT Consulting,301-500,Japan,Monday - Friday,Extra salary for OT
2024-10-17 20:49:55.599354,Senior IT Infrastructure Engineer (Networking),System Admin,Security,Networking,IVS,At office,Ho Chi Minh,IT Outsourcing,IT Services and IT Consulting,301-500,Japan,Monday - Friday,Extra salary for OT
2024-10-17 20:49:55.599354,IT Security Operation Engineer / SecOps Engineer,System Engineer,DevSecOps,Security,IVS,At office,Ho Chi Minh,IT Outsourcing,IT Services and IT Consulting,301-500,Japan,Monday - Friday,Extra salary for OT
2024-10-17 20:49:55.599354,Java Developer (Level Junior - Senior) ~$2000 NET,Java,Spring,NULL,Giao Hàng Tiết Kiệm,At office,Ha Noi,IT Product,"Transportation, Logistics and Warehouse",1000+,Vietnam,Monday - Saturday,No OT
2024-10-17 20:49:55.599354,Technical Scrum Master (Agile),Scrum,Agile,English,TymeX,Hybrid,Ho Chi Minh,IT Product,Banking,301-500,Singapore,Monday - Friday,No OT
2024-10-17 20:49:55.599354,"Senior Frontend (JavaScript/TypeScript, Svelte) - SaaS",TypeScript,JavaScript,ReactJS,Modern Coding,At office,Ho Chi Minh - Ha Noi - Da Nang,IT Product,Software Products and Web Services,1-50,Vietnam,Monday - Friday,No OT
2024-10-17 20:49:55.599354,Software Development Manager,Manager,JavaScript,Team Leader,SSI Securities Corporation,At office,Ha Noi,IT Product,Financial Services,1000+,Vietnam,Monday - Friday,
2024-10-17 20:49:55.599354,TechLead/Senior~Middle (NodeJS/Javascript),NodeJS,JavaScript,NULL,"Smaregi Vietnam Co., Ltd.",At office,Ho Chi Minh,IT Product,IT Services and IT Consulting,301-500,Japan,Monday - Friday,No OT
2024-10-17 20:49:55.599354,QC Engineer,Tester,English,Automation Test,Pizza Hut Digital & Technology,Hybrid,Ho Chi Minh,IT Product,Software Products and Web Services,51-150,United Kingdom,Monday - Friday,No OT
2024-10-17 20:49:55.599354,Senior Java Engineer,Java,C++,Spring,what3words,At office,Ho Chi Minh,IT Product,Software Products and Web Services,151-300,United Kingdom,Monday - Friday,No OT
2024-10-17 20:49:55.599354,Backend/ Cloud Engineer,AWS,Azure,Linux,Panasonic Vietnam Group – Panasonic R&D Center Vietnam (PRDCV),At office,Ha Noi,IT Product,IT Hardware and Computing,51-150,Japan,Monday - Friday,Extra salary for OT
2024-10-17 20:49:55.599354,Data Governance Expert,Business Intelligence,English,NULL,VinFast,At office,Ha Noi,IT Product,"Transportation, Logistics and Warehouse",301-500,Vietnam,Monday - Friday,No OT
2024-10-17 20:49:55.599354,Vehicle Tester (Automotive Tester)_Haiphong location,Automation Test,Tester,NULL,Luxoft Vietnam,At office,Others,IT Outsourcing,Software Development Outsourcing,51-150,United States,Monday - Friday,Extra salary for OT
2024-10-17 20:49:55.599354,Bridge Software Engineer (BrSE),Bridge Engineer,Japanese,NULL,NAL Solutions,At office,Da Nang - Others,IT Service and IT Consulting,IT Services and IT Consulting,151-300,Japan,Monday - Friday,Extra salary for OT
2024-10-17 20:49:55.599354,"Expert, IT Network & Security Infrastructure Operations",Security,English,Networking,Techcombank,At office,Ha Noi,IT Product,Banking,1000+,Vietnam,Monday - Friday,No OT
2024-10-17 20:49:55.599354,Embedded Engineer (Automation Test),Embedded,Tester,Automation Test,FPT Software,At office,Da Nang,IT Service and IT Consulting,IT Services and IT Consulting,1000+,Vietnam,Monday - Friday,Extra salary for OT
2024-10-17 20:49:55.599354,Firmware Software Developer (C/C++/English),C language,C++,English,HCL Vietnam Company Limited,At office,Ho Chi Minh,IT Outsourcing,Software Development Outsourcing,501-1000,India,Monday - Friday,No OT
2024-10-17 20:49:55.599354,Software Development - Integration Technology (ESB),Database,AWS,Linux,FE CREDIT,At office,Ho Chi Minh,IT Product,Financial Services,1000+,Vietnam,Monday - Friday,No OT
2024-10-17 20:49:55.599354,Backend Technical Lead (Java),Java,AWS,Cloud,TymeX,Hybrid,Ho Chi Minh,IT Product,Banking,301-500,Singapore,Monday - Friday,No OT
2024-10-17 20:49:55.599354,"DevOps Engineer (AWS, Jenkins, Nexus)",AWS,Python,NULL,LG CNS Việt Nam,At office,Ha Noi,IT Product,Manufacturing and Engineering,151-300,Vietnam,Monday - Friday,No OT
2024-10-17 20:49:55.599354,Presales Engineer (Solution Architect/Cloud/GCP),Presale,GCP,Solution Architect,Cloud Ace,At office,Ha Noi,IT Service and IT Consulting,IT Services and IT Consulting,1-50,Vietnam,Monday - Friday,No OT
2024-10-17 20:49:55.599354,APP Operating Engineer (Banking/Finance),Java,Linux,NULL,CÔNG TY TNHH LOTTE INNOVATE VIỆT NAM,At office,Ha Noi,IT Product,IT Services and IT Consulting,151-300,South Korea,Monday - Friday,
2024-10-17 20:49:55.599354,"Senior DevOps Engineer (AWS, GCP)",DevOps,AWS,GCP,HSC,At office,Ho Chi Minh,IT Product,Financial Services,501-1000,Vietnam,Monday - Friday,No OT
2024-10-17 20:49:55.599354,Mobile Technical Lead,Swift,Kotlin,NULL,TymeX,Hybrid,Ho Chi Minh,IT Product,Banking,301-500,Singapore,Monday - Friday,No OT
2024-10-17 20:49:55.599354,Business Analyst - CRM,Business Analyst,Data Analyst,NULL,DNSE,At office,Ha Noi,IT Product,Financial Services,151-300,Vietnam,Monday - Friday,No OT
2024-10-17 20:49:55.599354,Mid/Senior Data Analytics Engineer (HCL x ANZ Bank),Data Analyst,Python,SQL,HCL Vietnam Company Limited,At office,Ho Chi Minh,IT Outsourcing,Software Development Outsourcing,501-1000,India,Monday - Friday,No OT
2024-10-17 20:49:55.599354,Systems Compliance Administrator,System Admin,System Engineer,Azure,MiTek Viet Nam,At office,Ho Chi Minh,IT Product,Software Products and Web Services,1000+,United States,Monday - Friday,No OT
2024-10-17 20:49:55.599354,[Hybrid working] Solution Architect- Up to 3500$,Solution Architect,Oracle,Java,SHBFinance,Hybrid,Ha Noi,IT Product,Financial Services,1000+,Vietnam,Monday - Friday,No OT
2024-10-17 20:49:55.599354,"Site Reliability Engineer (DevOps, Golang)",DevOps,Cloud,Golang,Grab (Vietnam) Ltd.,Hybrid,Ho Chi Minh,IT Product,"Transportation, Logistics and Warehouse",501-1000,Singapore,Monday - Friday,No OT
2024-10-17 20:49:55.599354,[Hybrid or Remote] - Fullstack Dev (.NET),.NET,PHP,VueJS,Yet Company,Hybrid,Ho Chi Minh,IT Product,IT Services and IT Consulting,51-150,Japan,Monday - Friday,Extra salary for OT
2024-10-17 20:49:55.599354,"Web & Mobile Developer (ReactNative, Flutter, English)",React Native,English,Flutter,Titan DMS,Hybrid,Ho Chi Minh,IT Product,Software Development Outsourcing,51-150,Australia,Monday - Friday,No OT
